,Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
7,2010,"4,243",9.417,9.344,6.992,1.604,96,3.0,5.9,0.0269,2.735,84.38,Not Available,88.483,CELL RESEARCH
8,2009,"3,260",8.151,8.026,5.650,1.962,104,2.8,6.1,0.02329,2.417,82.69,Not Available,87.346,CELL RESEARCH
9,2008,"2,218",4.535,4.454,4.087,2.235,102,3.1,5.8,0.01504,1.643,61.76,Not Available,71.656,CELL RESEARCH
10,2007,"1,579",4.217,4.165,3.534,1.024,84,2.7,5.2,0.01253,1.453,67.86,Not Available,70.192,CELL RESEARCH
11,2006,"1,157",3.426,3.38,Not Available,0.545,101,2.4,5.8,Not Available,Not Available,80.2,Not Available,60.577,CELL RESEARCH
12,2005,640,2.161,2.062,Not Available,0.664,116,3.0,5.3,Not Available,Not Available,62.07,Not Available,42.81,CELL RESEARCH
13,2004,451,1.936,1.819,Not Available,0.083,60,3.7,5.4,Not Available,Not Available,83.33,Not Available,35.806,CELL RESEARCH
14,2003,354,1.729,1.376,Not Available,0.192,52,3.2,5.2,Not Available,Not Available,82.69,Not Available,36.218,CELL RESEARCH
15,2002,308,1.9580000000000002,1.666,Not Available,0.23800000000000002,42,3.0,6.2,Not Available,Not Available,78.57,Not Available,45.425,CELL RESEARCH
16,2001,244,2.102,1.5419999999999998,Not Available,0.27899999999999997,43,2.8,5.6,Not Available,Not Available,88.37,Not Available,47.279,CELL RESEARCH
0,2017,"23,493",23.290,22.534,23.799,5.321000000000001,109,5.1,5.4,0.096,12.374,93.58,11.20800,98.037,Cell Stem Cell
1,2016,"21,524",23.394,22.342,23.121,7.425,113,4.8,4.8,0.09235,11.738,88.5,10.59900,97.625,Cell Stem Cell
2,2015,"18,575",22.387,21.262,22.566999999999997,3.7119999999999997,104,4.6,4.7,0.09136,11.044,85.58,10.41334,97.606,Cell Stem Cell
3,2014,"17,720",22.268,21.080,24.565,6.143,112,4.2,4.4,0.10245,12.105,84.82,11.47414,97.587,Cell Stem Cell
4,2013,"15,492",22.151,20.986,25.910999999999998,5.956,113,3.7,4.5,0.11763,13.683,86.73,12.96560,97.395,Cell Stem Cell
5,2012,"12,593",25.315,24.115,27.361,4.336,122,3.3,4.5,0.10026,13.047,77.05,Not Available,97.854,Cell Stem Cell
6,2011,"10,145",25.421,24.450,27.494,6.646,96,2.7,4.2,0.10082,15.981,89.58,Not Available,96.95,Cell Stem Cell
7,2010,"6,982",25.943,24.690,26.967,4.74,104,2.2,4.0,0.06641,14.263,90.38,Not Available,97.094,Cell Stem Cell
8,2009,"4,007",23.563,21.971,23.563000000000002,6.724,98,1.7,3.7,0.04396,14.875,86.73,Not Available,96.836,Cell Stem Cell
9,2008,"1,232",16.826,15.000,16.826,4.76,96,1.2,3.9,0.01254,12.304,94.79,Not Available,96.497,Cell Stem Cell
10,2007,119,Not Available,Not Available,0.0,2.5869999999999997,46,0.5,4.1,0.0,Not Available,82.61,Not Available,1.603,Cell Stem Cell
0,2017,"1,129",8.982000000000001,8.732999999999999,8.982000000000001,1.495,99,1.7,6.1,0.01,6.391,96.97,1.121,91.185,Cell Systems
1,2016,394,8.406,8.156,8.406,1.584,77,1.3,6.2,0.00225,4.897,96.1,0.2583,89.936,Cell Systems
0,2017,"230,625",31.398000000000003,30.78,33.796,7.5920000000000005,365,9.1,5.7,0.583,19.514,89.59,68.09600,99.086,CELL
1,2016,"217,952",30.41,29.638,34.103,6.358,455,9.1,5.3,0.59398,20.067,86.81,68.14412,99.519,CELL
2,2015,"202,467",28.71,28.123,32.857,6.151,437,9.0,5.7,0.55509,18.920,89.93,63.26879,99.072,CELL
3,2014,"201,108",32.242,31.53,35.532,5.931,436,8.6,5.5,0.57703,19.361,89.68,64.62790,99.506,CELL
4,2013,"191,226",33.116,32.268,35.020,6.75,432,8.4,5.1,0.5995,20.124,88.66,66.07639,99.509,CELL
5,2012,"178,762",31.956999999999997,31.345,34.366,6.499,415,8.5,5.4,0.58533,19.272,90.6,Not Available,99.508,CELL
6,2011,"171,297",32.403,31.826,34.774,6.382000000000001,338,8.6,5.1,0.66082,20.554,87.87,Not Available,99.327,CELL
7,2010,"167,591",32.406,31.874000000000002,34.931,6.6610000000000005,319,8.5,4.8,0.70027,20.591,89.34,Not Available,99.491,CELL
8,2009,"153,972",31.151999999999997,30.435,32.628,6.825,359,8.7,4.7,0.69859,20.124,86.63,Not Available,99.449,CELL
9,2008,"142,064",31.253,30.589000000000002,30.149,6.126,348,8.8,4.7,0.67169,18.871,88.22,Not Available,99.431,CELL
10,2007,"136,514",29.886999999999997,29.083000000000002,28.779,6.402,366,8.7,4.5,0.67067,18.188,86.34,Not Available,99.234,CELL
11,2006,"132,528",29.194000000000003,28.416,Not Available,6.403,352,8.7,4.2,Not Available,Not Available,83.24,Not Available,99.233,CELL
12,2005,"132,371",29.430999999999997,28.81,Not Available,6.2379999999999995,319,8.4,4.4,Not Available,Not Available,89.03,Not Available,99.222,CELL
13,2004,"136,472",28.389,27.874000000000002,Not Available,7.632000000000001,288,7.9,4.5,Not Available,Not Available,85.42,Not Available,98.715,CELL
14,2003,"137,333",26.625999999999998,26.124000000000002,Not Available,6.502000000000001,281,7.4,4.1,Not Available,Not Available,85.05,Not Available,98.72,CELL
15,2002,"139,765",27.254,26.677,Not Available,5.86,350,7.0,3.8,Not Available,Not Available,68.86,Not Available,99.04,CELL
16,2001,"146,225",29.219,28.506999999999998,Not Available,5.204,353,6.6,3.8,Not Available,Not Available,71.1,Not Available,99.586,CELL
17,2000,"153,747",32.44,31.616,Not Available,5.348,345,6.1,3.7,Not Available,Not Available,70.72,Not Available,99.588,CELL
18,1999,"159,955",36.242,35.444,Not Available,7.337999999999999,346,5.7,3.6,Not Available,Not Available,74.86,Not Available,99.568,CELL
19,1998,"159,685",38.686,37.741,Not Available,6.511,407,5.3,3.5,Not Available,Not Available,73.71,Not Available,99.566,CELL
20,1997,"148,744",37.297,36.196,Not Available,6.475,448,4.9,3.5,Not Available,Not Available,77.46,Not Available,99.511,CELL
0,2017,"23,341",6.721,6.619,6.134,1.663,288,7.3,7.6,0.041,2.014,26.04,4.82700,85.731,CELLULAR AND MOLECULAR LIFE SCIENCES
1,2016,"21,448",5.788,5.705,5.643,1.564,289,7.3,7.7,0.04259,1.970,28.37,4.88271,82.532,CELLULAR AND MOLECULAR LIFE SCIENCES
2,2015,"20,290",5.694,5.612,5.570,1.237,308,6.8,7.6,0.04388,1.940,30.52,5.00129,83.407,CELLULAR AND MOLECULAR LIFE SCIENCES
3,2014,"19,985",5.808,5.723,6.005,1.345,304,6.3,7.6,0.04904,2.087,31.25,5.49217,82.973,CELLULAR AND MOLECULAR LIFE SCIENCES
4,2013,"19,252",5.856,5.786,6.455,1.57,300,5.8,7.4,0.05712,2.313,30.67,6.29608,82.169,CELLULAR AND MOLECULAR LIFE SCIENCES
5,2012,"17,974",5.615,5.551,6.359,1.072,290,5.6,6.7,0.05844,2.284,37.59,Not Available,81.111,CELLULAR AND MOLECULAR LIFE SCIENCES
6,2011,"16,807",6.570,6.499,6.534,1.0170000000000001,301,5.2,7.0,0.0652,2.502,39.53,Not Available,85.074,CELLULAR AND MOLECULAR LIFE SCIENCES
7,2010,"15,469",7.047,6.984,6.609,1.163,301,4.9,6.7,0.06853,2.551,46.51,Not Available,85.12,CELLULAR AND MOLECULAR LIFE SCIENCES
8,2009,"13,428",6.090,6.008,5.928,0.951,288,4.8,6.7,0.06648,2.340,32.64,Not Available,83.652,CELLULAR AND MOLECULAR LIFE SCIENCES
9,2008,"11,354",5.511,5.439,5.457,0.97,302,4.6,6.6,0.06242,2.172,26.82,Not Available,82.104,CELLULAR AND MOLECULAR LIFE SCIENCES
10,2007,"9,749",5.239,5.143,5.260,0.597,273,4.4,5.8,0.05913,2.093,27.84,Not Available,80.482,CELLULAR AND MOLECULAR LIFE SCIENCES
11,2006,"8,180",4.655,4.559,Not Available,0.7390000000000001,257,4.2,5.8,Not Available,Not Available,36.96,Not Available,75.855,CELLULAR AND MOLECULAR LIFE SCIENCES
12,2004,"5,956",4.812,4.682,Not Available,0.53,268,3.7,5.3,Not Available,Not Available,46.64,Not Available,79.126,CELLULAR AND MOLECULAR LIFE SCIENCES
13,2003,"4,765",4.995,4.905,Not Available,0.359,234,3.5,5.3,Not Available,Not Available,44.44,Not Available,81.891,CELLULAR AND MOLECULAR LIFE SCIENCES
14,2002,"3,959",5.259,5.170,Not Available,0.49200000000000005,191,3.0,5.9,Not Available,Not Available,32.46,Not Available,82.322,CELLULAR AND MOLECULAR LIFE SCIENCES
15,2001,"2,738",4.539,4.489,Not Available,0.59,178,2.6,5.3,Not Available,Not Available,28.65,Not Available,83.058,CELLULAR AND MOLECULAR LIFE SCIENCES
16,2000,"1,700",3.668,3.639,Not Available,0.355,169,2.0,5.0,Not Available,Not Available,22.49,Not Available,81.443,CELLULAR AND MOLECULAR LIFE SCIENCES
17,1999,815,2.891,2.813,Not Available,0.447,217,1.8,4.6,Not Available,Not Available,22.58,Not Available,75.359,CELLULAR AND MOLECULAR LIFE SCIENCES
18,1998,246,1.545,1.500,Not Available,0.519,135,1.3,4.9,Not Available,Not Available,40.74,Not Available,52.983,CELLULAR AND MOLECULAR LIFE SCIENCES
19,1997,26,Not Available,Not Available,Not Available,0.23199999999999998,112,Not Available,5.9,Not Available,Not Available,62.5,Not Available,1.639,CELLULAR AND MOLECULAR LIFE SCIENCES
0,2017,"29,570",6.308,5.981,6.800,1.891,441,7.9,9.2,0.059,2.703,100.0,6.88400,90.996,CEREBRAL CORTEX
1,2016,"27,496",6.559,6.314,6.943,1.716,363,7.5,9.3,0.06312,2.969,100.0,7.24711,92.085,CEREBRAL CORTEX
2,2015,"26,911",8.285,7.987,7.881,1.423,409,7.1,9.0,0.06806,3.376,100.0,7.75793,93.555,CEREBRAL CORTEX
3,2014,"26,191",8.665,8.414,8.335,2.043,282,6.7,9.2,0.06927,3.290,100.0,7.75791,93.849,CEREBRAL CORTEX
4,2013,"24,708",8.305,8.059,8.372,2.41,268,6.3,8.8,0.07654,3.462,100.0,8.43607,93.849,CEREBRAL CORTEX
5,2012,"21,409",6.827999999999999,6.53,7.463,2.05,258,6.0,7.9,0.07485,3.117,100.0,Not Available,90.675,CEREBRAL CORTEX
6,2011,"19,105",6.544,6.231,7.058,1.6230000000000002,260,5.8,8.4,0.07277,2.997,100.0,Not Available,91.189,CEREBRAL CORTEX
7,2010,"17,284",6.843999999999999,6.434,7.200,1.4280000000000002,264,5.5,8.1,0.07334,3.019,97.73,Not Available,91.841,CEREBRAL CORTEX
8,2009,"15,940",6.979,6.611000000000001,7.427,1.575,275,5.4,8.0,0.07424,3.211,93.82,Not Available,91.991,CEREBRAL CORTEX
9,2008,"13,154",5.907,5.513999999999999,6.939,1.619,270,5.4,7.6,0.06793,3.128,91.85,Not Available,90.271,CEREBRAL CORTEX
10,2007,"11,408",6.519,6.0489999999999995,7.001,1.392,306,5.6,7.6,0.05777,3.098,97.39,Not Available,92.654,CEREBRAL CORTEX
11,2006,"9,614",6.367999999999999,6.0120000000000005,Not Available,1.124,209,5.7,7.2,Not Available,Not Available,94.74,Not Available,91.75,CEREBRAL CORTEX
12,2005,"8,440",6.187,5.805,Not Available,1.203,192,5.5,7.3,Not Available,Not Available,96.88,Not Available,91.25,CEREBRAL CORTEX
13,2004,"7,096",5.322,4.977,Not Available,1.097,134,5.0,6.9,Not Available,Not Available,95.52,Not Available,90.657,CEREBRAL CORTEX
14,2003,"6,483",5.626,5.277,Not Available,1.065,139,4.9,6.7,Not Available,Not Available,94.24,Not Available,91.162,CEREBRAL CORTEX
15,2002,"5,331",6.188,5.857,Not Available,0.93,128,5.3,6.8,Not Available,Not Available,97.66,Not Available,93.147,CEREBRAL CORTEX
16,2001,"4,923",6.577999999999999,6.26,Not Available,0.7090000000000001,110,5.1,7.1,Not Available,Not Available,90.0,Not Available,91.162,CEREBRAL CORTEX
17,2000,"4,007",4.822,4.638,Not Available,0.741,108,4.8,7.1,Not Available,Not Available,84.26,Not Available,88.424,CEREBRAL CORTEX
18,1999,"3,575",5.901,5.572,Not Available,0.726,84,4.5,6.6,Not Available,Not Available,96.43,Not Available,92.786,CEREBRAL CORTEX
19,1998,"3,083",7.412999999999999,6.985,Not Available,0.868,68,4.2,6.9,Not Available,Not Available,94.12,Not Available,96.287,CEREBRAL CORTEX
20,1997,"2,384",5.581,5.3020000000000005,Not Available,1.19,63,3.9,6.9,Not Available,Not Available,88.89,Not Available,90.333,CEREBRAL CORTEX
0,2017,"13,275",9.247,9.139,12.208,1.906,96,5.3,9.7,0.049,5.6339999999999995,100.0,5.76500,89.737,Cold Spring Harbor Perspectives in Biology
1,2016,"11,216",8.769,8.315,11.85,0.835,85,4.7,9.2,0.05616,5.675,100.0,6.44678,89.737,Cold Spring Harbor Perspectives in Biology
2,2015,"9,184",9.173,8.722999999999999,11.277000000000001,1.696,138,4.1,8.7,0.05855,5.438,100.0,6.67386,90.642,Cold Spring Harbor Perspectives in Biology
3,2014,"7,817",8.679,8.422,11.319,1.615,122,3.5,6.9,0.05777,5.406000000000001,100.0,6.47012,87.228,Cold Spring Harbor Perspectives in Biology
4,2013,"5,419",8.226,8.07,10.054,1.248,153,3.0,7.7,0.04529,5.228,100.0,4.99226,84.595,Cold Spring Harbor Perspectives in Biology
5,2012,"3,921",9.63,9.481,10.367,0.884,155,2.4,6.9,0.03472,5.446000000000001,100.0,Not Available,89.459,Cold Spring Harbor Perspectives in Biology
6,2011,"2,379",9.402000000000001,9.147,9.402000000000001,1.766,141,1.7,7.3,0.02279,5.547999999999999,100.0,Not Available,89.779,Cold Spring Harbor Perspectives in Biology
7,2010,553,5.371,3.032,5.371,1.34,162,1.2,7.0,0.00262,2.174,100.0,Not Available,75.0,Cold Spring Harbor Perspectives in Biology
0,2017,"56,595",9.251,8.888,9.972,2.272,460,7.9,7.4,0.137,4.758,93.91,16.02900,92.316,CURRENT BIOLOGY
1,2016,"52,274",8.851,8.519,9.704,2.396,449,7.8,7.3,0.13465,4.736,93.32,15.45562,91.942,CURRENT BIOLOGY
2,2015,"49,471",8.982999999999999,8.654,9.733,2.378,442,7.6,7.1,0.14179,4.932,94.57,16.16102,91.585,CURRENT BIOLOGY
3,2014,"48,575",9.571,9.183,10.134,2.207,440,7.4,6.7,0.14406,4.990,92.50,16.13455,92.201,CURRENT BIOLOGY
4,2013,"46,037",9.916,9.533999999999999,10.227,2.266,391,7.0,6.7,0.15522,5.308,92.84,17.10870,91.821,CURRENT BIOLOGY
5,2012,"43,191",9.494,9.18,10.445,2.307,371,6.8,6.5,0.16637,5.551,92.18,Not Available,91.0,CURRENT BIOLOGY
6,2011,"41,572",9.647,9.305,10.881,2.36,333,6.3,6.0,0.18607,5.888,91.29,Not Available,92.425,CURRENT BIOLOGY
7,2010,"39,883",10.026,9.658,11.436,2.358,366,5.9,5.8,0.20664,6.314,91.26,Not Available,92.374,CURRENT BIOLOGY
8,2009,"37,237",10.992,10.559000000000001,11.571,2.19,357,5.6,5.7,0.23416,6.762,91.60,Not Available,94.876,CURRENT BIOLOGY
9,2008,"33,409",10.777000000000001,10.36,11.142,2.176,352,5.2,5.4,0.25279,6.842,95.45,Not Available,95.455,CURRENT BIOLOGY
10,2007,"30,816",10.539000000000001,10.128,10.630,2.407,332,5.0,5.3,0.26126,6.733,96.39,Not Available,94.867,CURRENT BIOLOGY
11,2006,"28,406",10.988,10.564,Not Available,2.465,340,4.7,4.8,Not Available,Not Available,96.18,Not Available,94.847,CURRENT BIOLOGY
12,2005,"26,820",11.732000000000001,11.299000000000001,Not Available,2.336,330,4.3,4.7,Not Available,Not Available,96.06,Not Available,95.977,CURRENT BIOLOGY
13,2004,"25,144",11.901,11.455,Not Available,2.569,334,4.0,4.3,Not Available,Not Available,94.91,Not Available,95.977,CURRENT BIOLOGY
14,2003,"22,589",11.91,11.455,Not Available,2.6830000000000003,331,3.8,4.0,Not Available,Not Available,95.47,Not Available,97.51,CURRENT BIOLOGY
15,2002,"20,020",7.007000000000001,6.728,Not Available,2.713,341,3.5,3.7,Not Available,Not Available,96.19,Not Available,90.414,CURRENT BIOLOGY
16,2001,"18,263",7.46,7.156000000000001,Not Available,1.4469999999999998,528,3.3,3.6,Not Available,Not Available,98.30,Not Available,92.56,CURRENT BIOLOGY
17,2000,"15,927",8.392999999999999,8.176,Not Available,1.557,458,2.9,3.5,Not Available,Not Available,99.78,Not Available,95.062,CURRENT BIOLOGY
18,1999,"12,962",8.732999999999999,8.459,Not Available,1.844,463,2.6,3.2,Not Available,Not Available,100.00,Not Available,95.619,CURRENT BIOLOGY
19,1998,"9,427",7.855,7.6,Not Available,1.7480000000000002,433,2.6,3.1,Not Available,Not Available,99.31,Not Available,95.898,CURRENT BIOLOGY
20,1997,"6,393",6.667000000000001,6.431,Not Available,1.4180000000000001,342,2.4,3.2,Not Available,Not Available,Not Available,Not Available,93.174,CURRENT BIOLOGY
0,2017,"13,339",10.015,9.881,8.512,2.044,91,8.6,5.1,0.028,4.050,50.55,3.24500,91.842,CURRENT OPINION IN CELL BIOLOGY
1,2016,"13,266",9.937000000000001,9.805,8.684,1.724,98,8.1,4.9,0.02978,4.217,62.24,3.40000,92.368,CURRENT OPINION IN CELL BIOLOGY
2,2015,"13,034",8.851,8.572000000000001,8.515,2.198,96,8.2,4.7,0.03184,4.136,66.67,3.62858,89.037,CURRENT OPINION IN CELL BIOLOGY
3,2014,"13,844",8.467,8.295,10.118,1.755,94,7.8,4.6,0.03841,4.616,100.0,4.30210,86.685,CURRENT OPINION IN CELL BIOLOGY
4,2013,"14,069",8.736,8.656,10.843,2.16,100,7.5,4.3,0.04665,5.416,100.0,5.14207,87.297,CURRENT OPINION IN CELL BIOLOGY
5,2012,"13,866",11.41,11.258,12.034,1.291,110,6.9,4.0,0.05414,6.237,100.0,Not Available,92.162,CURRENT OPINION IN CELL BIOLOGY
6,2011,"13,795",12.897,12.762,12.594,1.6480000000000001,91,6.4,4.1,0.06374,6.950,100.0,Not Available,94.199,CURRENT OPINION IN CELL BIOLOGY
7,2010,"13,739",13.54,13.380999999999998,13.290,1.886,114,6.3,3.9,0.06826,7.345,100.0,Not Available,93.539,CURRENT OPINION IN CELL BIOLOGY
8,2009,"13,559",14.152999999999999,14.027000000000001,13.634,2.3209999999999997,109,6.2,3.4,0.07645,7.917,92.66,Not Available,94.753,CURRENT OPINION IN CELL BIOLOGY
9,2008,"12,753",12.543,12.390999999999998,13.551,1.989,93,5.9,3.5,0.08028,7.740,97.85,Not Available,92.675,CURRENT OPINION IN CELL BIOLOGY
10,2007,"12,587",13.444,13.277999999999999,13.714,1.6669999999999998,90,5.7,3.0,0.08763,8.053,96.67,Not Available,94.551,CURRENT OPINION IN CELL BIOLOGY
11,2006,"12,422",14.299000000000001,14.069,Not Available,2.064,94,5.4,2.8,Not Available,Not Available,97.87,Not Available,95.192,CURRENT OPINION IN CELL BIOLOGY
12,2005,"12,538",15.245999999999999,14.972999999999999,Not Available,1.774,93,5.2,2.8,Not Available,Not Available,13.98,Not Available,96.405,CURRENT OPINION IN CELL BIOLOGY
13,2004,"12,674",15.422,15.192,Not Available,1.8090000000000002,94,5.0,2.7,Not Available,Not Available,0.0,Not Available,95.161,CURRENT OPINION IN CELL BIOLOGY
14,2003,"12,565",18.176,17.835,Not Available,2.041,97,4.6,2.7,Not Available,Not Available,5.15,Not Available,95.833,CURRENT OPINION IN CELL BIOLOGY
15,2002,"12,818",19.022000000000002,18.715,Not Available,2.656,90,4.3,2.4,Not Available,Not Available,30.0,Not Available,96.405,CURRENT OPINION IN CELL BIOLOGY
16,2001,"12,563",21.568,21.275,Not Available,3.228,92,4.1,2.4,Not Available,Not Available,17.39,Not Available,96.939,CURRENT OPINION IN CELL BIOLOGY
17,2000,"12,648",22.754,22.381999999999998,Not Available,2.6489999999999996,94,3.7,2.4,Not Available,Not Available,30.85,Not Available,97.619,CURRENT OPINION IN CELL BIOLOGY
18,1999,"11,992",25.631,25.213,Not Available,3.198,91,3.5,2.3,Not Available,Not Available,62.64,Not Available,97.518,CURRENT OPINION IN CELL BIOLOGY
19,1998,"10,297",22.904,22.518,Not Available,2.37,92,3.3,2.3,Not Available,Not Available,96.74,Not Available,98.201,CURRENT OPINION IN CELL BIOLOGY
20,1997,"8,143",18.133,17.745,Not Available,2.8739999999999997,95,3.3,2.3,Not Available,Not Available,100.0,Not Available,97.308,CURRENT OPINION IN CELL BIOLOGY
0,2017,"14,190",6.541,6.397,6.917,1.1909999999999998,162,8.7,5.7,0.035,3.469,0.0,4.04600,91.762,CURRENT OPINION IN NEUROBIOLOGY
1,2016,"13,188",6.132999999999999,5.933,6.767,1.465,127,8.5,5.3,0.03666,3.550,100.0,4.20939,89.382,CURRENT OPINION IN NEUROBIOLOGY
2,2015,"13,090",6.372999999999999,6.279,6.958,1.671,152,8.5,5.5,0.03549,3.503,100.0,4.04565,91.602,CURRENT OPINION IN NEUROBIOLOGY
3,2014,"12,732",6.627999999999999,6.425,7.284,1.604,164,8.2,5.7,0.0338,3.559,100.0,3.78510,91.468,CURRENT OPINION IN NEUROBIOLOGY
4,2013,"12,062",6.765,6.627000000000001,7.549,1.7009999999999998,147,8.1,4.7,0.03586,4.031,100.0,3.95304,91.071,CURRENT OPINION IN NEUROBIOLOGY
5,2012,"11,429",7.335,7.075,8.165,1.111,135,7.8,5.2,0.03638,4.243,100.0,Not Available,92.262,CURRENT OPINION IN NEUROBIOLOGY
6,2011,"10,788",7.444,7.224,8.742,1.075,120,7.3,4.3,0.0403,4.725,100.0,Not Available,92.828,CURRENT OPINION IN NEUROBIOLOGY
7,2010,"10,126",6.891,6.667999999999999,8.594,0.9620000000000001,104,7.1,3.9,0.04241,4.773,100.0,Not Available,92.259,CURRENT OPINION IN NEUROBIOLOGY
8,2009,"9,784",7.211,7.045,8.936,0.402,92,6.8,3.9,0.04831,4.960,0.0,Not Available,93.29,CURRENT OPINION IN NEUROBIOLOGY
9,2008,"9,413",8.102,7.946000000000001,9.143,0.535,71,6.3,3.6,0.05407,5.040,98.59,Not Available,93.891,CURRENT OPINION IN NEUROBIOLOGY
10,2007,"9,197",8.958,8.769,9.308,1.115,78,6.0,3.6,0.05661,5.031,38.46,Not Available,95.498,CURRENT OPINION IN NEUROBIOLOGY
11,2006,"8,648",9.286,9.09,Not Available,1.255,94,5.6,3.6,Not Available,Not Available,31.91,Not Available,94.75,CURRENT OPINION IN NEUROBIOLOGY
12,2005,"8,223",8.527000000000001,8.347999999999999,Not Available,1.0,97,5.3,3.2,Not Available,Not Available,34.02,Not Available,94.75,CURRENT OPINION IN NEUROBIOLOGY
13,2004,"7,660",7.937,7.747999999999999,Not Available,1.069,102,5.0,3.0,Not Available,Not Available,0.0,Not Available,94.697,CURRENT OPINION IN NEUROBIOLOGY
14,2003,"7,432",9.727,9.54,Not Available,0.838,99,4.7,3.4,Not Available,Not Available,26.26,Not Available,96.212,CURRENT OPINION IN NEUROBIOLOGY
15,2002,"6,768",10.718,10.42,Not Available,0.7609999999999999,92,4.4,3.0,Not Available,Not Available,66.3,Not Available,96.701,CURRENT OPINION IN NEUROBIOLOGY
16,2001,"6,421",9.995,9.742,Not Available,1.1159999999999999,95,4.3,2.9,Not Available,Not Available,42.11,Not Available,95.707,CURRENT OPINION IN NEUROBIOLOGY
17,2000,"5,912",9.277000000000001,8.837,Not Available,1.882,93,3.9,2.7,Not Available,Not Available,15.05,Not Available,96.798,CURRENT OPINION IN NEUROBIOLOGY
18,1999,"5,285",9.287,9.101,Not Available,1.113,97,3.7,2.7,Not Available,Not Available,78.35,Not Available,97.761,CURRENT OPINION IN NEUROBIOLOGY
19,1998,"4,347",8.854,8.609,Not Available,0.6809999999999999,94,3.5,2.6,Not Available,Not Available,98.94,Not Available,97.772,CURRENT OPINION IN NEUROBIOLOGY
20,1997,"3,193",7.356,7.074,Not Available,0.975,79,3.1,2.6,Not Available,Not Available,91.14,Not Available,94.333,CURRENT OPINION IN NEUROBIOLOGY
0,2017,"10,619",7.178999999999999,6.959,6.580,1.921,126,8.7,5.0,0.024,3.311,100.0,2.83900,86.94,CURRENT OPINION IN STRUCTURAL BIOLOGY
1,2016,"10,440",6.932,6.7,7.129,1.5330000000000001,122,8.4,4.5,0.02576,3.553,100.0,2.94005,86.797,CURRENT OPINION IN STRUCTURAL BIOLOGY
2,2015,"10,167",6.712999999999999,6.537000000000001,6.965,1.569,102,8.3,4.0,0.02637,3.544,100.0,3.00587,86.568,CURRENT OPINION IN STRUCTURAL BIOLOGY
3,2014,"10,897",7.2010000000000005,6.892,8.077,1.238,105,8.1,4.2,0.03091,4.047,100.0,3.46216,87.242,CURRENT OPINION IN STRUCTURAL BIOLOGY
4,2013,"10,465",8.747,8.435,9.113,1.5230000000000001,111,7.4,4.1,0.03494,4.539,100.0,3.85071,90.053,CURRENT OPINION IN STRUCTURAL BIOLOGY
5,2012,"10,116",8.738,8.469,9.020,1.452,93,7.2,4.1,0.03683,4.584,100.0,Not Available,89.327,CURRENT OPINION IN STRUCTURAL BIOLOGY
6,2011,"10,190",9.424,9.141,9.485,1.548,93,6.7,3.8,0.04108,4.870,91.4,Not Available,91.976,CURRENT OPINION IN STRUCTURAL BIOLOGY
7,2010,"9,829",9.902999999999999,9.72,9.650,1.033,90,6.5,4.0,0.04345,4.900,27.78,Not Available,91.638,CURRENT OPINION IN STRUCTURAL BIOLOGY
8,2009,"9,606",9.344,9.027000000000001,10.015,1.5959999999999999,94,6.2,3.7,0.04925,5.224,50.0,Not Available,92.124,CURRENT OPINION IN STRUCTURAL BIOLOGY
9,2008,"8,844",9.06,8.782,9.804,1.054,92,5.9,3.6,0.05069,5.105,33.7,Not Available,91.245,CURRENT OPINION IN STRUCTURAL BIOLOGY
10,2007,"8,278",10.15,9.95,9.987,0.802,91,5.5,2.9,0.05553,5.261,34.07,Not Available,92.916,CURRENT OPINION IN STRUCTURAL BIOLOGY
11,2006,"8,189",11.215,10.982999999999999,Not Available,1.3980000000000001,93,5.2,2.9,Not Available,Not Available,8.6,Not Available,93.288,CURRENT OPINION IN STRUCTURAL BIOLOGY
12,2005,"7,523",9.559,9.316,Not Available,1.2990000000000002,87,5.2,2.7,Not Available,Not Available,17.24,Not Available,92.619,CURRENT OPINION IN STRUCTURAL BIOLOGY
13,2004,"7,416",9.821,9.603,Not Available,1.189,90,4.9,2.8,Not Available,Not Available,23.33,Not Available,92.031,CURRENT OPINION IN STRUCTURAL BIOLOGY
14,2003,"6,337",8.686,8.486,Not Available,1.011,87,4.6,3.0,Not Available,Not Available,32.18,Not Available,91.742,CURRENT OPINION IN STRUCTURAL BIOLOGY
15,2002,"6,156",9.63,9.271,Not Available,1.062,97,4.4,2.7,Not Available,Not Available,51.55,Not Available,92.585,CURRENT OPINION IN STRUCTURAL BIOLOGY
16,2001,"5,830",10.892999999999999,10.613,Not Available,1.117,94,4.1,2.6,Not Available,Not Available,50.0,Not Available,93.054,CURRENT OPINION IN STRUCTURAL BIOLOGY
17,2000,"5,167",10.427,9.994,Not Available,1.133,90,3.8,2.8,Not Available,Not Available,64.44,Not Available,93.41,CURRENT OPINION IN STRUCTURAL BIOLOGY
18,1999,"4,675",8.633,8.558,Not Available,3.478,46,3.7,2.4,Not Available,Not Available,65.22,Not Available,92.077,CURRENT OPINION IN STRUCTURAL BIOLOGY
19,1998,"4,126",8.69,8.385,Not Available,1.0,93,3.6,2.4,Not Available,Not Available,89.25,Not Available,92.686,CURRENT OPINION IN STRUCTURAL BIOLOGY
