Citing Journal Data: PLOS ONE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
5522,1.063,SAO PAULO MED J,16,1,0,0,0,1,0,6,1,1,1,5
5523,0.994,SCANNING,16,0,1,5,1,0,1,1,0,0,1,6
5524, ,SCI REP IN PRESS,16,6,6,0,0,0,0,0,0,0,0,4
5525, ,SCOLIOSIS SPINAL DIS,16,2,4,2,0,1,1,0,0,1,1,4
5526, ,SEER CANC STAT REV 1,16,0,5,3,0,2,1,0,0,1,0,4
5527,3.927,SEP PURIF TECHNOL,16,0,3,2,2,2,2,2,0,0,0,3
5528,0.475,SOC ANIM,16,0,0,0,1,0,4,1,0,2,0,8
5529, ,SOURCE CODE BIOL MED,16,0,0,1,3,2,0,1,0,1,7,1
5530,1.354,SPORT PSYCHOL,16,0,1,1,4,1,0,0,1,1,0,7
5531,2.096,SURG-J R COLL SURG E,16,1,3,0,2,1,3,1,2,0,1,2
5532,1.029,TAIWAN J OBSTET GYNE,16,0,2,4,2,0,2,2,1,2,1,0
5533,2.013,TELLUS B,16,0,0,0,0,0,2,0,0,0,0,14
5534, ,TOURISM MANAGE,16,0,0,0,2,0,3,1,1,0,2,7
5535,2.152,TRANSFUS MED HEMOTH,16,0,2,0,2,8,0,3,0,1,0,0
5536,2.364,TRANSPLANT REV-ORLAN,16,0,1,0,5,0,4,1,0,1,2,2
5537,1.686,TROP PLANT BIOL,16,0,1,1,0,1,5,2,3,0,3,0
5538,2.149,UROL CLIN N AM,16,0,2,2,2,0,1,0,0,0,2,7
5539, ,USDA TECH BULL,16,0,0,1,0,0,1,0,0,0,1,13
5540,2.406,VEHICLE SYST DYN,16,0,0,0,1,0,0,2,2,2,0,9
5541, ,VET MED INT,16,0,2,2,0,0,1,10,1,0,0,0
5542, ,WALL STREET J,16,0,4,8,1,1,1,0,0,0,0,1
5543,1.323,WESTERN J NURS RES,16,1,2,1,0,1,1,0,1,1,0,8
5544,1.822,WOMEN BIRTH,16,0,2,2,5,3,0,1,0,0,0,3
5545, ,WORLD J GASTROINTEST,16,0,3,3,7,1,1,1,0,0,0,0
5546, ,YEARB PHYS ANTHROPOL,16,0,0,0,0,0,0,0,0,0,1,15
5547,1.160,Z GERONTOL GERIATR,16,0,2,1,1,1,1,0,3,0,1,6
5548,1.497,3 BIOTECH,15,2,4,4,2,1,2,0,0,0,0,0
5549, ,AAAI,15,1,1,3,0,1,4,3,0,0,1,1
5550,6.036,ACTA MATER,15,0,1,1,2,1,1,1,1,1,1,5
5551,1.196,ACTA OTORHINOLARYNGO,15,0,0,1,3,1,0,1,2,1,0,6
5552,6.014,ACTA PHARM SIN B,15,0,1,8,3,0,1,1,0,0,0,1
5553, ,ADV BIOINFORMATICS,15,0,0,4,0,0,0,1,0,0,10,0
5554,4.250,ADV CLIN CHEM,15,0,2,3,3,0,3,3,0,0,1,0
5555, ,ADV CONSUM RES,15,0,0,0,1,0,0,0,0,0,0,14
5556,5.609,ADV HEALTHC MATER,15,2,5,1,2,4,1,0,0,0,0,0
5557,0.761,AFR ZOOL,15,1,0,1,1,1,2,3,0,2,1,3
5558, ,AGRONOMIE,15,0,0,0,0,0,0,0,0,0,0,15
5559, ,ALCOHOL RES-CURR REV,15,0,1,6,1,2,5,0,0,0,0,0
5560,2.213,ALLERGY ASTHMA PROC,15,0,3,1,2,2,0,0,4,0,0,3
5561, ,AM FISH S S,15,0,0,0,0,0,0,1,2,0,2,10
5562,2.741,AM J CARDIOVASC DRUG,15,0,1,3,1,0,0,1,2,1,1,5
5563, ,AM J OTOL,15,0,0,0,0,0,0,0,0,0,0,15
5564,2.645,AM MINERAL,15,0,0,2,0,1,1,0,1,1,0,9
5565,0.995,ANAESTHESIST,15,0,0,1,2,3,0,1,1,0,0,7
5566,0.515,ANN SOC ENTOMOL FR,15,0,0,1,1,1,0,3,2,2,2,3
5567,0.618,ANTHROPOL SCI,15,0,1,2,1,1,2,0,1,1,1,5
5568, ,APPL MECH MATER,15,0,0,0,2,9,3,1,0,0,0,0
5569, ,APPL MULTIPLE REGRES,15,0,0,0,0,3,0,0,0,0,0,12
5570,2.254,ARCH AGRON SOIL SCI,15,1,4,3,1,1,2,0,1,0,0,2
5571,2.288,ARCH PHARM,15,0,0,1,2,1,0,2,1,0,1,7
5572, ,ARCHAEOL OCEAN,15,0,2,0,1,1,0,1,1,1,1,7
5573, ,ARXIV E PRINTS,15,2,7,2,2,2,0,0,0,0,0,0
5574, ,ASIAN J PSYCHIATR,15,0,2,3,2,3,2,0,1,1,1,0
5575,0.976,ASIAN PAC J ALLERGY,15,0,2,2,2,0,1,1,2,0,0,5
5576, ,ASIAN PAC J TROP BIO,15,1,1,1,2,4,5,1,0,0,0,0
5577,5.551,ASTROPHYS J,15,1,1,1,0,0,1,0,0,0,0,11
5578,1.080,AUSTRALAS J AGEING,15,0,1,0,1,1,0,5,1,1,3,2
5579,2.244,AUTON ROBOT,15,0,0,1,0,2,2,0,1,1,2,6
5580,2.088,BEHAV NEUROL,15,0,0,3,2,0,0,0,2,3,1,4
5581,6.838,BIOFABRICATION,15,1,4,0,1,2,2,1,3,1,0,0
5582,0.351,BIOL BULL+,15,0,1,2,0,0,0,2,2,0,1,7
5583, ,BIOMECHANICS MOTOR C,15,0,0,0,0,0,0,0,0,8,0,7
5584, ,BMJBRIT MED J,15,0,3,0,0,2,0,1,0,3,0,6
5585, ,BOTTLENOSE DOLPHIN,15,0,0,0,0,0,0,0,0,0,0,15
5586, ,BRAZ DENT J,15,0,1,2,1,0,2,1,0,0,2,6
5587,1.223,BRAZ ORAL RES,15,0,2,2,1,2,3,0,2,0,0,3
5588,1.289,BRIT FOOD J,15,0,2,1,1,2,0,0,0,2,0,7
5589, ,BRIT J PLAST SURG,15,0,0,0,0,0,0,0,0,0,0,15
5590,4.684,CELL DIV,15,0,0,1,0,2,1,1,1,1,3,5
5591, ,CHILD MALTREATMENT,15,0,1,0,1,0,0,1,0,4,3,5
5592,0.717,CHIN J OCEANOL LIMN,15,0,3,2,2,1,1,4,2,0,0,0
5593, ,CHINESE J ECOL,15,0,1,3,0,3,0,1,2,1,0,4
5594, ,CHINESE J SCH HLTH,15,0,0,1,0,1,0,2,2,2,2,5
5595,1.321,CHINESE PHYS B,15,0,1,1,3,3,2,1,3,0,1,0
5596, ,CLIM CHANG 2013 PHYS,15,0,0,0,2,13,0,0,0,0,0,0
5597,4.381,CLIN TOXICOL,15,0,2,3,2,2,1,1,1,1,1,1
5598,4.621,CLIN TRANSL GASTROEN,15,0,4,2,5,2,1,1,0,0,0,0
5599, ,COMMUN DIS INTELL,15,0,2,2,0,1,0,1,1,1,3,4
5600,2.947,COMPUT AIDED DESIGN,15,0,0,4,1,1,0,2,0,0,0,7
5601,4.148,COMPUT STRUCT BIOTEC,15,1,3,6,0,3,2,0,0,0,0,0
5602,2.616,CONTROL ENG PRACT,15,0,1,1,4,2,0,0,0,0,1,6
5603, ,CRIM JUSTICE BEHAV,15,0,1,1,2,0,0,2,1,0,2,6
5604, ,CURR OPIN DRUG DISC,15,0,0,0,0,0,0,0,3,2,1,9
5605, ,CURR OPIN MOL THER,15,0,0,0,0,0,0,0,3,3,0,9
5606,2.168,CURR STEM CELL RES T,15,1,1,1,0,3,1,1,4,0,2,1
5607, ,CURR TOP BEHAV NEURO,15,0,1,3,2,2,4,1,2,0,0,0
5608,2.633,CURR TREAT OPTION NE,15,1,1,0,3,0,0,2,1,1,0,6
5609,3.214,DERMATOL CLIN,15,0,1,2,1,0,1,2,1,1,1,5
5610,2.115,DIAGN INTERV IMAG,15,0,0,4,0,6,5,0,0,0,0,0
5611,1.220,DISASTER MED PUBLIC,15,0,2,4,1,1,0,4,0,1,0,2
5612, ,DOKL AKAD NAUK+,15,0,2,1,0,0,1,0,0,1,0,10
5613,1.325,DRUG TODAY,15,0,1,0,1,1,1,2,2,2,0,5
5614,1.351,EAT DISORD,15,0,0,0,1,0,1,3,1,0,1,8
5615, ,EDUC PSYCHOL-UK,15,0,0,1,1,1,1,2,2,1,1,5
5616, ,ELECTROMYOGR MOTOR C,15,0,0,0,0,0,0,0,0,0,0,15
5617,1.353,EMERG MED AUSTRALAS,15,0,0,2,2,2,3,2,2,1,0,1
5618, ,ENVIRON IMPACT ASSES,15,1,1,1,0,1,2,0,1,2,0,6
5619, ,ETHIOPIAN MED J,15,0,0,1,1,0,1,1,0,2,2,7
5620,1.362,EUR J DRUG METAB PH,15,0,3,2,0,1,1,0,0,0,1,7
5621, ,EUR J ORTHOP SURG TR,15,0,0,6,6,1,0,0,0,0,2,0
5622, ,EUR REV SOCIAL,15,0,0,0,0,0,0,0,0,0,0,15
5623,2.388,EVOL COMPUT,15,0,0,0,1,0,2,1,0,1,0,10
5624, ,FINANC TIMES,15,1,3,8,0,0,1,0,1,0,0,1
5625,0.644,FISH PATHOL,15,0,0,1,1,0,1,2,0,0,0,10
5626,1.950,FLAVOUR FRAG J,15,0,0,1,0,0,0,1,1,1,2,9
5627,2.273,FOOD ENVIRON VIROL,15,1,2,5,1,1,3,0,2,0,0,0
5628,1.629,FRACTALS,15,0,1,1,0,2,0,0,0,0,0,11
5629, ,FRONT VET SCI,15,1,10,4,0,0,0,0,0,0,0,0
5630, ,FUTURE CHILD,15,0,0,0,2,0,0,0,0,1,0,12
5631, ,GLOBAL STATUS REPORT,15,0,0,1,3,0,0,5,4,0,0,2
5632,5.657,GONDWANA RES,15,1,2,0,4,4,0,1,0,1,0,2
5633,1.128,GRANA,15,0,0,1,0,0,0,1,1,0,1,11
5634, ,GROUP DYN-THEOR RES,15,0,0,0,0,0,1,0,3,0,2,9
5635, ,HEALTH ECON POLICY L,15,0,2,3,1,0,2,3,1,1,1,1
5636, ,HORTIC REV,15,0,0,0,0,0,1,0,3,1,0,10
5637,0.765,ICHTHYOL RES,15,1,0,1,1,1,2,1,2,0,1,5
5638, ,ICML,15,0,0,1,1,3,0,1,3,0,0,6
5639, ,IEEE INFOCOM SER,15,0,0,0,1,0,1,3,0,3,1,6
5640,2.169,IEEE MICROW WIREL CO,15,0,3,2,2,1,0,0,0,2,0,5
5641,4.337,IEEE SYST J,15,2,0,2,5,2,0,0,0,4,0,0
5642,2.450,IEEE T CIRCUITS-II,15,2,2,2,1,1,0,0,3,0,0,4
5643,2.743,IEEE T IND APPL,15,0,1,0,0,0,2,0,2,0,0,10
5644, ,IEEE T SYST MAN CY C,15,0,0,0,0,0,4,1,3,0,2,5
5645, ,IMMUNOPHARMACOLOGY,15,0,0,0,0,0,0,0,0,0,0,15
5646, ,INT J ALZHEIMERS DIS,15,0,0,0,1,0,1,10,3,0,0,0
5647, ,INT J CONSUM STUD,15,0,2,3,0,2,0,2,0,0,1,5
5648, ,INT J GEN MED,15,1,1,1,2,2,2,2,2,2,0,0
5649,1.628,INT J GYNECOL PATHOL,15,0,0,3,0,1,2,1,1,0,2,5
5650,1.195,INT J OCCUP ENV HEAL,15,0,0,1,1,0,0,0,2,1,1,9
5651,1.367,INT J OCCUP MED ENV,15,0,0,4,2,2,0,3,0,1,1,2
5652,1.249,INT J PERIODONT REST,15,0,1,1,0,2,0,2,1,0,0,8
5653, ,INT MARIT HEALTH,15,0,0,1,5,3,5,1,0,0,0,0
5654,2.053,INT STAT REV,15,0,0,0,0,0,1,0,1,0,0,13
5655, ,INTRO QUANT G,15,0,0,0,0,0,0,0,0,0,0,15
5656,1.372,IRAN J PHARM RES,15,0,2,2,5,1,0,2,1,0,0,2
5657,1.045,IRISH J MED SCI,15,0,0,4,3,2,0,1,0,0,2,3
5658, ,J AGR RES,15,0,0,0,0,0,0,0,0,0,0,15
5659, ,J AM ACAD NURSE PRAC,15,0,0,0,0,0,1,0,3,2,2,7
5660, ,J ANTHROPOL RES,15,0,0,1,0,1,1,0,1,1,0,10
5661,2.866,J ASIAN EARTH SCI,15,1,1,0,0,2,2,0,1,1,0,7
5662, ,J BURN CARE REHABIL,15,0,0,0,0,0,0,0,0,0,0,15
5663, ,J BUS ETHICS,15,0,2,1,2,1,1,1,1,0,0,6
5664, ,J COMMUNITY APPL SOC,15,0,1,0,1,1,0,1,1,1,1,8
5665,1.088,J CONTIN EDUC HEALTH,15,0,1,2,0,0,1,1,0,1,0,9
5666,1.527,J DRUGS DERMATOL,15,1,3,1,1,2,1,1,1,1,1,2
5667, ,J EXP EDUC,15,0,1,0,1,0,1,0,0,1,1,10
5668,1.138,J FOOT ANKLE SURG,15,0,2,1,0,0,0,1,2,0,0,9
5669,0.636,J FR OPHTALMOL,15,0,0,2,1,0,0,1,1,2,2,6
5670,2.858,J GEOCHEM EXPLOR,15,0,1,1,3,1,3,4,1,0,0,1
5671,1.581,J GERIATR CARDIOL,15,0,4,4,2,4,1,0,0,0,0,0
5672,2.080,J HYDRAUL ENG,15,0,3,0,0,0,1,1,0,1,0,9
5673,1.522,J INTERV CARD ELECTR,15,0,2,1,1,2,2,2,0,1,2,2
5674, ,J JPN SOC HORTIC SCI,15,0,0,0,0,0,0,2,1,1,0,11
5675, ,J MED LIFE,15,0,2,0,6,0,2,1,3,0,1,0
5676, ,J MENT DEFIC RES,15,0,0,0,0,0,0,0,0,0,0,15
5677,1.888,J MICROMECH MICROENG,15,0,1,2,1,1,2,2,1,1,0,4
5678,1.135,J MT SCI-ENGL,15,0,1,3,3,2,1,1,2,0,0,2
5679,0.945,J NEUROSCI NURS,15,1,0,0,1,0,0,1,1,1,0,10
5680, ,J PATHOL BACTERIOL,15,0,0,0,0,0,0,0,0,0,0,15
5681,2.456,J PEDIAT INF DIS SOC,15,0,6,2,2,2,3,0,0,0,0,0
5682,1.487,J PHYSIOL ANTHROPOL,15,0,2,1,1,1,0,2,0,2,0,6
5683,0.917,J PSYCHOPHYSIOL,15,0,1,0,0,0,0,1,0,0,0,13
5684,1.274,J RADIOL PROT,15,0,1,1,1,3,3,0,1,3,1,1
5685,1.775,J RECEPT SIG TRANSD,15,1,1,4,1,0,1,0,1,0,0,6
5686,2.358,J SEDIMENT RES,15,0,0,0,0,2,0,0,0,0,0,13
5687,2.591,J SPORT HEALTH SCI,15,1,1,3,4,3,3,0,0,0,0,0
5688,0.814,J STAT PLAN INFER,15,0,0,1,0,1,0,0,2,3,1,7
5689, ,J URBAN ECON,15,0,1,0,0,0,1,0,4,1,2,6
5690, ,JMIR PUBLIC HLTH SUR,15,1,13,1,0,0,0,0,0,0,0,0
5691, ,JPN CIRC J,15,0,0,0,0,0,0,0,0,0,0,15
5692, ,JPN J CROP SCI,15,0,0,0,0,0,0,0,0,0,0,15
5693,1.044,JPN J RADIOL,15,0,2,1,4,1,2,1,4,0,0,0
5694,1.207,KOREAN J PARASITOL,15,0,0,5,3,2,0,0,0,2,2,1
5695, ,LAKARTIDNINGEN,15,0,1,0,0,5,2,2,0,1,0,4
5696,1.123,MALAWI MED J,15,1,0,1,2,1,5,2,1,0,0,2
5697, ,MANUAL STATE TRAIT,15,0,0,0,0,0,0,0,0,0,0,15
5698,2.687,MATER LETT,15,0,2,1,1,2,0,0,1,1,3,4
5699, ,METHODS MOL MED,15,0,0,0,0,0,0,0,0,0,0,15
5700,1.167,MOL CYTOGENET,15,0,0,5,3,1,3,2,0,0,1,0
5701, ,MOL EVOLUTION PHYLOG,15,0,0,0,0,0,0,0,0,1,0,14
5702, ,MONOGR ORAL SCI,15,0,0,0,10,0,0,4,0,0,0,1
5703,3.575,MSPHERE,15,3,12,0,0,0,0,0,0,0,0,0
5704, ,NAT CLIN PRACT GASTR,15,0,0,0,0,0,0,0,0,2,4,9
5705,0.989,NAV RES LOG,15,0,1,0,0,0,0,0,0,0,1,13
5706,0.738,NERVENARZT,15,0,1,0,1,2,0,0,1,1,2,7
5707, ,NETH J ZOOL,15,0,0,0,0,0,0,0,0,0,0,15
5708,0.760,NEUES JAHRB GEOL P-A,15,1,1,1,0,1,1,3,2,0,0,5
5709, ,NEUROPSYCHOLOGICAL A,15,0,0,0,0,0,6,0,0,1,0,8
5710, ,NEURORX,15,0,0,0,0,0,0,0,0,0,0,15
5711,3.201,NEW J CHEM,15,0,2,5,2,1,0,2,0,0,0,3
5712, ,NEW MEX MUSEUM NA,15,0,1,0,2,0,0,1,1,0,0,10
5713,1.149,NEW ZEAL J AGR RES,15,0,0,1,0,0,2,0,0,0,0,12
5714, ,NEWS PHYSIOL SCI,15,0,0,0,0,0,0,0,0,0,0,15
5715,0.128,NIPPON SUISAN GAKK,15,0,0,0,0,0,0,0,1,0,0,14
5716,1.129,NONLINEAR PROC GEOPH,15,0,0,0,2,1,0,2,0,0,1,9
5717, ,ONKOLOGIE,15,0,0,0,0,3,0,6,1,0,1,4
5718, ,OPEN AIDS J,15,0,2,3,0,0,6,3,0,0,1,0
5719, ,OPHELIA,15,0,0,0,0,0,0,0,0,0,0,15
5720,1.390,ORNIS FENNICA,15,0,1,0,0,3,0,0,1,1,3,6
5721, ,P AM PHILOS SOC,15,0,0,1,0,1,0,0,0,0,0,13
5722,1.103,P I MECH ENG F-J RAI,15,1,1,0,4,1,1,0,0,0,1,6
5723, ,PACKAGE SURVIVAL ANA,15,0,0,9,1,1,0,0,0,0,0,4
5724,1.528,PAEDIATR INT CHILD H,15,1,2,4,5,1,2,0,0,0,0,0
5725, ,PALLIAT SUPPORT CARE,15,1,0,2,2,2,0,1,0,2,1,4
5726,2.117,PARKINSONS DIS-US,15,1,2,4,1,2,2,2,1,0,0,0
5727, ,PATHOPHYSIOL HAEMO T,15,0,0,0,0,0,0,0,0,0,0,15
5728,2.660,PATIENT,15,0,2,3,2,1,2,1,1,3,0,0
5729, ,PCR PROTOCOLS,15,0,0,0,0,0,0,0,0,0,0,15
5730,0.385,PESQUI VET BRASIL,15,0,1,2,1,2,3,1,0,0,2,3
5731,0.945,PHARM STAT,15,0,0,1,0,2,2,4,2,0,0,4
5732,1.919,PHYS THER SPORT,15,0,0,1,1,0,2,1,3,1,1,5
5733,1.721,PHYTOCOENOLOGIA,15,0,1,3,0,1,1,0,1,0,0,8
5734,2.730,PITUITARY,15,0,1,0,0,3,2,3,0,0,0,6
5735, ,PRACT STAT MED R,15,0,0,0,0,0,0,0,0,0,0,15
5736,0.971,PREHOSP DISASTER MED,15,0,1,3,1,0,1,1,0,2,0,6
5737,1.341,PSYCHIAT DANUB,15,0,4,2,3,3,2,0,1,0,0,0
5738,2.283,PULM CIRC,15,0,2,4,2,2,4,1,0,0,0,0
5739, ,QUAL INQ,15,1,0,0,0,3,0,0,3,0,0,8
5740,1.088,QUINTESSENCE INT,15,0,0,1,0,1,1,4,1,0,0,7
5741, ,RASCH MEAS T,15,0,1,0,0,0,0,1,0,0,1,12
5742, ,RECENT PROG HORM RES,15,0,0,0,0,0,0,0,0,0,0,15
5743,0.270,REV BRAS MED ESPORTE,15,0,0,1,0,0,2,2,2,1,1,6
5744,1.267,SARCOIDOSIS VASC DIF,15,0,3,0,2,3,0,0,2,0,0,5
5745,1.520,SAUDI J GASTROENTERO,15,0,4,0,0,4,2,3,1,0,0,1
5746, ,SCI COMMUN,15,0,1,2,1,3,0,0,0,0,1,7
5747, ,SCI SILVAE SINICAE,15,0,0,2,0,4,1,2,1,1,0,4
5748,2.183,SIAM J OPTIMIZ,15,0,0,0,0,0,0,0,1,0,2,12
5749, ,SIGKDD EXPLORATIONS,15,0,1,0,0,0,1,0,2,11,0,0
5750,1.974,SKIN PHARMACOL PHYS,15,0,0,2,1,2,0,0,1,0,0,9
5751, ,SOC ADOLESCENT SELF,15,0,0,0,0,0,0,0,0,0,0,15
5752,0.629,SPAN J PSYCHOL,15,0,1,0,1,1,3,0,2,2,1,4
5753, ,SPIE MED IMAGING,15,1,4,3,3,0,1,1,0,0,1,1
5754,2.694,SPORTS HEALTH,15,0,1,2,1,5,0,0,1,5,0,0
5755, ,SSRN ELECT J,15,0,0,0,1,1,2,2,3,0,1,5
5756, ,STAIN TECHNOL,15,0,0,0,0,0,0,0,0,0,0,15
5757,0.886,STAT SINICA,15,0,0,1,0,0,0,0,1,1,2,10
5758, ,STUD COMPUT INTELL,15,1,1,2,1,1,2,1,4,1,0,1
5759,1.947,SURG CLIN N AM,15,0,1,1,1,0,1,2,0,1,1,7
5760,1.256,SYMMETRY-BASEL,15,0,1,4,1,0,0,2,7,0,0,0
5761,2.656,SYST CONTROL LETT,15,0,1,0,1,1,1,0,1,1,1,8
5762, ,THEOR ISLAND BIOGEO,15,0,0,0,0,0,0,0,0,0,0,15
5763,4.750,THER ADV NEUROL DISO,15,0,4,1,2,1,4,0,1,2,0,0
5764, ,TOP HIV MED,15,0,0,0,0,0,0,0,2,3,4,6
5765,1.994,TOXICOL MECH METHOD,15,0,1,0,1,2,1,4,1,1,2,2
5766, ,TRANSCULT PSYCHIATRY,15,0,1,0,2,0,0,1,1,1,0,9
5767, ,TUBERC RESP DIS,15,2,4,1,2,1,3,0,0,0,1,1
5768,0.641,TURK J MED SCI,15,1,0,5,0,1,3,1,1,1,0,2
5769, ,W INDIAN MED J,15,0,0,0,1,1,1,1,1,1,2,7
5770, ,WASH POST,15,1,4,2,1,0,1,0,1,0,0,5
5771, ,WECHSLER MEMORY SCAL,15,0,0,0,0,0,0,0,0,2,0,13
5772, ,WESTERN J MED,15,0,0,0,0,0,0,0,0,0,0,15
5773, ,WORK STRESS,15,0,0,0,1,0,2,1,1,1,2,7
5774, ,WORLD CANC REPORT 20,15,0,0,0,13,0,0,0,0,0,1,1
5775, ,WORLD J CLIN ONCOL,15,0,2,2,8,0,0,3,0,0,0,0
5776,1.228,WORLD J PEDIATR,15,0,1,1,3,1,1,4,3,1,0,0
5777,4.376,WORLD J STEM CELLS,15,0,1,5,7,1,0,0,1,0,0,0
5778,1.891,Z MED PHYS,15,0,1,1,6,2,4,0,1,0,0,0
5779,0.226,ZOOL ZH,15,0,1,0,0,2,0,0,0,0,0,12
5780,4.325,ACS INFECT DIS,14,1,6,7,0,0,0,0,0,0,0,0
5781,2.333,ACTA NEUROPSYCHIATR,14,0,1,3,1,1,1,1,0,0,2,4
5782, ,ADV BIOL REGUL,14,1,1,5,4,2,1,0,0,0,0,0
5783, ,ADV BIOMED RES,14,0,3,5,4,0,1,0,0,0,0,1
5784,1.262,ADV CLIN EXP MED,14,0,2,1,4,1,3,1,1,0,0,1
5785, ,ADV NEURAL INF PROCE,14,0,0,0,1,2,2,0,1,1,1,6
5786, ,AIP C PROC,14,0,2,1,4,0,2,1,0,1,1,2
5787,1.033,ALCHERINGA,14,0,0,0,0,1,1,1,0,0,1,10
5788,1.533,AM J HOSP PALLIAT ME,14,2,1,1,1,3,1,2,0,0,0,3
5789, ,AM J MENS HEALTH,14,0,2,1,3,1,3,2,0,1,1,0
5790, ,AM JOURNAL OF,14,1,2,1,0,0,2,1,0,0,0,7
5791,1.467,ANN CLIN PSYCHIATRY,14,0,0,1,2,0,1,0,1,2,2,5
5792, ,ANT THER HIV INF AD,14,0,0,0,0,0,0,0,11,0,0,3
5793,0.497,APPL ENG AGRIC,14,0,0,0,1,0,2,0,0,0,0,11
5794, ,APPL LONGITUDINAL DA,14,0,0,0,0,0,0,0,0,0,0,14
5795,0.648,ARCH BIOL SCI,14,0,0,1,2,3,2,0,3,1,0,2
5796, ,ARCH HISTOL CYTOL,14,0,0,0,0,0,0,0,0,1,0,13
5797, ,AS PAC PERSP RED OB,14,0,0,0,0,0,0,0,0,0,0,14
5798, ,ASIAN SPINE J,14,0,3,2,4,2,0,1,0,1,1,0
5799, ,AUST WILDLIFE RES,14,0,0,0,0,0,0,0,0,0,0,14
5800,0.522,B KOREAN CHEM SOC,14,0,0,4,0,2,2,0,1,1,0,4
5801, ,BAYESIAN DATA ANAL,14,0,0,0,11,1,0,0,0,0,0,2
5802,2.871,BEHAV SLEEP MED,14,0,2,1,1,2,3,0,0,0,0,5
5803, ,BIOCHEM SOC SYMP,14,0,0,0,0,0,0,0,0,0,0,14
5804,1.660,BIOETHICS,14,0,0,5,1,0,1,0,0,3,0,4
5805,1.729,BIOL SPORT,14,0,4,1,1,2,1,1,1,1,0,2
5806,1.087,BIOMED PAP,14,0,5,4,0,0,0,1,1,0,1,2
5807, ,BIOMETR BULL,14,0,0,0,0,0,0,0,0,0,0,14
5808,0.778,BLUMEA,14,0,0,1,0,1,0,0,0,2,1,9
5809, ,BMC NUTR,14,0,5,9,0,0,0,0,0,0,0,0
5810, ,BMJ OPEN DIAB RES CA,14,1,5,2,6,0,0,0,0,0,0,0
5811, ,BRAIN RES PROTOC,14,0,0,0,0,0,0,0,0,0,0,14
5812, ,CAN J BEHAV SCI,14,1,0,0,0,2,1,1,0,0,0,9
5813, ,CAN J PSYCHOL,14,0,0,0,0,0,0,0,0,0,0,14
5814, ,CANCER MICROENVIRON,14,0,1,3,2,1,3,0,2,0,2,0
5815,1.143,CARDIOL RES PRACT,14,0,0,0,7,0,3,3,1,0,0,0
5816,1.652,CARDIOVASC ULTRASOUN,14,0,0,1,3,1,2,1,0,1,2,3
5817, ,CASE REP MED,14,0,2,2,0,6,2,0,1,1,0,0
5818,3.463,CATAL COMMUN,14,1,3,2,0,3,0,1,0,1,2,1
5819,2.033,CHILD ADOL PSYCH MEN,14,0,0,2,0,3,3,0,1,0,3,2
5820, ,CHIN J PLANT ECOL,14,0,1,2,3,1,2,3,1,1,0,0
5821, ,CITIES,14,1,0,2,2,2,3,1,0,1,0,2
5822, ,CLIN DIABETES,14,1,1,2,2,0,0,1,1,0,2,4
5823,1.370,CLIN NEUROPHARMACOL,14,0,1,1,0,1,1,0,4,0,0,6
5824,1.205,COMB CHEM HIGH T SCR,14,2,0,0,0,0,2,0,1,3,1,5
5825,0.943,COMMUNITY ECOL,14,0,1,1,2,0,1,0,1,3,2,3
5826, ,COMP FUNCT GENOM,14,0,0,0,0,0,4,1,2,1,2,4
5827,2.934,CONTRAST MEDIA MOL I,14,0,3,0,4,2,2,0,0,0,0,3
5828, ,CRIT REV ONCOGENESIS,14,0,0,4,2,1,0,1,0,0,1,5
5829, ,CURR DRUG SAF,14,0,0,1,0,3,2,2,5,0,0,1
5830,2.481,CURR MOL PHARMACOL,14,1,4,2,0,0,3,4,0,0,0,0
5831, ,CURR OPIN INVEST DR,14,0,0,0,0,0,0,0,3,2,0,9
5832, ,CURR OPIN PSYCHOL,14,0,4,10,0,0,0,0,0,0,0,0
5833,2.715,CURR PAIN HEADACHE R,14,0,2,1,1,4,0,0,0,2,0,4
5834, ,CURR PROTOC PROTEIN,14,1,0,1,0,1,0,1,0,0,3,7
5835, ,DECISION SCI,14,0,0,1,0,0,0,0,0,1,1,11
5836,2.055,DENDROCHRONOLOGIA,14,1,2,0,0,1,2,0,0,2,3,3
5837, ,DEV PRIMATOL-PROG PR,14,0,0,0,0,3,0,4,3,0,1,3
5838, ,DIVERSITY,14,4,2,0,2,0,0,3,1,2,0,0
5839, ,DIVERSITY BASEL,14,0,1,0,0,6,1,0,6,0,0,0
5840,3.095,DRUG DELIV,14,2,6,2,1,0,0,2,0,0,0,1
5841, ,DRUG DISCOV THER,14,1,1,2,1,3,2,2,0,1,1,0
5842,2.531,DYSPHAGIA,14,1,0,0,2,2,0,2,1,0,0,6
5843,2.923,EARLY INTERV PSYCHIA,14,0,3,3,0,3,0,2,0,1,1,1
5844,1.884,EARTH INTERACT,14,0,0,0,0,0,4,1,2,1,0,6
5845,2.851,ELECTROANAL,14,1,2,0,1,1,1,1,2,0,1,4
5846,1.268,ENDOCRINOL NUTR,14,0,3,2,1,3,2,2,1,0,0,0
5847, ,ENRGY PROCED,14,0,0,3,3,3,2,3,0,0,0,0
5848,0.829,ENVIRON ECOL STAT,14,0,0,2,1,0,0,0,0,2,2,7
