Citing Journal Data: IEEE T BIO-MED ENG,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
333,1.982,J CLIN NEUROPHYSIOL,6,0,0,0,0,0,0,0,0,0,0,6
334,4.099,J HYPERTENS,6,0,0,0,0,2,1,0,0,0,1,2
335,3.046,J MAGN MAGN MATER,6,0,1,3,0,0,0,0,0,1,0,1
336,1.786,J MATH BIOL,6,0,0,0,0,0,0,0,0,3,0,3
337,1.888,J MICROMECH MICROENG,6,0,0,0,0,0,0,0,0,2,1,3
338,1.566,J OPT SOC AM A,6,0,0,0,0,0,0,0,0,0,0,6
339,3.355,J R SOC INTERFACE,6,0,1,1,1,1,0,1,0,1,0,0
340,3.433,J SLEEP RES,6,0,0,0,0,0,0,2,1,2,0,1
341,4.880,J THORAC CARDIOV SUR,6,0,0,0,0,0,0,1,0,1,0,4
342,11.238,JNCI-J NATL CANCER I,6,0,0,0,0,0,0,0,0,1,0,5
343,1.184,JOVE-J VIS EXP,6,0,0,0,3,1,0,1,1,0,0,0
344,5.080,MAT SCI ENG C-MATER,6,0,0,3,0,2,1,0,0,0,0,0
345,2.277,MULTISCALE MODEL SIM,6,0,0,0,0,0,0,0,2,0,1,3
346,37.490,NAT NANOTECHNOL,6,0,0,0,0,0,2,0,0,1,1,2
347,12.423,NAT PROTOC,6,0,0,0,0,0,2,1,1,0,0,2
348,42.784,NAT REV CANCER,6,0,0,0,0,0,1,0,0,0,1,4
349,0.706,NETWORK-COMP NEURAL,6,0,0,0,0,0,0,0,0,0,0,6
350,4.711,NEUROREHAB NEURAL RE,6,0,0,1,0,1,0,2,0,1,0,1
351,2.444,OTOLARYNG HEAD NECK,6,0,0,0,0,0,0,1,0,0,0,5
352, ,P INT C AC SPEECH SI,6,0,1,0,1,0,0,0,0,0,0,4
353,2.410,P ROY SOC A-MATH PHY,6,0,0,0,0,0,0,0,0,0,0,6
354,2.132,PHYSICA A,6,0,2,1,1,0,0,0,0,0,0,2
355,13.250,PSYCHOL BULL,6,0,0,0,0,0,0,0,0,0,0,6
356,1.682,SIAM J MATRIX ANAL A,6,0,0,0,1,0,0,0,0,0,0,5
357,5.550,ACM COMPUT SURV,5,0,0,0,1,0,0,0,0,0,0,4
358,2.973,ACM T INTEL SYST TEC,5,0,0,0,0,0,0,5,0,0,0,0
359,1.760,ADV EXP MED BIOL,5,0,0,1,0,1,0,1,0,0,1,1
360,5.117,AM J MED,5,0,0,0,0,0,1,0,0,0,0,4
361,1.843,AM J PHYS MED REHAB,5,0,0,0,0,0,2,0,0,0,0,3
362,4.018,AM J PHYSIOL-ENDOC M,5,0,0,0,0,0,0,0,0,0,0,5
363,13.396,AM J PSYCHIAT,5,0,0,0,0,0,0,0,0,0,0,5
364,12.102,ANGEW CHEM INT EDIT,5,0,0,0,0,1,1,0,0,0,0,3
365,3.034,ARTIF INTELL,5,0,0,0,0,0,0,0,0,1,0,4
366,6.126,AUTOMATICA,5,0,0,1,0,0,1,0,0,0,0,3
367, ,BEHAV RES METHODS,5,0,0,0,0,1,0,0,1,0,0,3
368, ,BIOMED ENG LETT,5,0,0,1,1,1,0,2,0,0,0,0
369,2.077,BIOMED MICRODEVICES,5,0,0,0,0,3,1,0,0,1,0,0
370,1.669,BIOMETRIKA,5,0,0,0,0,0,0,0,0,0,0,5
371,4.490,BIPOLAR DISORD,5,0,0,0,0,0,1,0,1,0,0,3
372,3.730,BMC GENOMICS,5,0,0,0,1,1,3,0,0,0,0,0
373,5.922,BRIT J CANCER,5,0,0,0,0,0,0,0,0,0,0,5
374,1.814,BRIT J RADIOL,5,0,0,0,0,0,0,1,0,0,0,4
375,8.636,CLIN CHEM,5,0,0,0,0,0,0,0,0,0,0,5
376,1.649,COMPUT INTEL NEUROSC,5,0,0,0,0,0,0,1,0,1,0,3
377,0.792,COMPUT J,5,0,0,0,0,0,0,0,0,0,0,5
378,6.541,CURR OPIN NEUROBIOL,5,0,0,2,0,0,0,0,2,0,0,1
379,8.336,EUR HEART J-CARD IMG,5,0,2,2,1,0,0,0,0,0,0,0
380,3.131,FRONT NEURAL CIRCUIT,5,0,0,1,2,2,0,0,0,0,0,0
381,3.074,FRONT NEUROINFORM,5,0,0,1,2,2,0,0,0,0,0,0
382,3.394,FRONT PHYSIOL,5,0,0,2,0,0,0,3,0,0,0,0
383,2.675,FUZZY SET SYST,5,0,0,0,0,1,0,0,0,0,1,3
384,9.937,GENET MED,5,0,0,0,0,5,0,0,0,0,0,0
385, ,HDB MRI PULSE SEQUEN,5,0,0,0,0,0,0,0,0,0,0,5
386, ,IEEE IMAGE PROC,5,0,2,1,0,0,1,0,1,0,0,0
387, ,IEEE ROBOT AUTOM LET,5,0,5,0,0,0,0,0,0,0,0,0
388,1.288,IEEE T APPL SUPERCON,5,0,0,2,0,1,0,1,0,0,0,1
389,8.415,IEEE T FUZZY SYST,5,0,0,1,1,1,0,0,0,0,0,2
390,4.662,IEEE T GEOSCI REMOTE,5,0,0,0,0,0,0,0,0,1,1,3
391,2.950,IEEE-ACM T AUDIO SPE,5,0,0,2,3,0,0,0,0,0,0,0
392,4.580,INT J NEURAL SYST,5,0,0,0,3,1,0,0,0,0,0,1
393,2.868,INT J PSYCHOPHYSIOL,5,0,0,0,2,2,0,0,0,0,0,1
394,3.165,INTERFACE FOCUS,5,0,0,0,0,1,0,4,0,0,0,0
395,3.476,J ALZHEIMERS DIS,5,0,1,1,0,1,1,0,0,1,0,0
396,14.357,J AM CHEM SOC,5,0,0,0,0,0,0,0,0,0,1,4
397,4.155,J AM GERIATR SOC,5,0,0,0,0,0,0,0,0,0,1,4
398,1.257,J ARTIF INTELL RES,5,0,0,0,0,0,0,0,0,0,0,5
399, ,J BIOMED ENG,5,0,0,0,0,0,0,0,0,0,0,5
400,2.680,J CATARACT REFR SURG,5,0,0,1,0,0,0,0,0,1,0,3
401,13.251,J CLIN INVEST,5,0,0,0,1,0,0,0,0,0,0,4
402,4.247,J CLIN PSYCHIAT,5,0,0,0,1,0,0,0,0,0,0,4
403,1.606,J COMPUT NEUROSCI,5,0,0,1,3,0,0,0,1,0,0,0
404,2.864,J COMPUT PHYS,5,0,0,1,0,0,0,0,0,0,0,4
405,3.783,J NEUROL,5,0,0,0,1,0,0,0,0,1,1,2
406, ,J VOICE,5,0,0,1,1,0,0,1,0,1,0,1
407,1.452,JPN J APPL PHYS,5,0,0,1,1,0,0,0,0,0,0,3
408,2.442,LARYNGOSCOPE,5,0,0,1,0,0,0,0,0,0,2,2
409,1.500,MATH BIOSCI,5,0,0,0,0,0,0,0,0,1,1,3
410,2.889,NEUROPSYCHOLOGIA,5,0,0,0,0,0,0,0,2,1,0,2
411,1.266,NEUROREPORT,5,0,0,0,0,0,0,0,0,0,0,5
412,7.479,OPHTHALMOLOGY,5,0,0,0,2,0,0,0,1,0,0,2
413, ,P BRIT MACH VIS C,5,0,0,0,1,1,0,0,2,1,0,0
414, ,P COMPUT CARDIOL,5,0,0,0,0,0,0,0,0,0,0,5
415,1.124,P I MECH ENG H,5,0,0,0,0,0,1,0,4,0,0,0
416, ,P IEEE C COMP VIS PA,5,0,1,0,0,0,0,1,1,0,2,0
417, ,P INT C ART INT STAT,5,0,0,0,0,0,0,0,1,4,0,0
418, ,P INT C BIOM APPL EL,5,2,1,2,0,0,0,0,0,0,0,0
419, ,P INTERSPEECH,5,0,1,0,3,1,0,0,0,0,0,0
420, ,P MICCAI WORKSH 3D S,5,0,0,0,0,0,0,0,0,0,0,5
421,5.559,PAIN,5,0,0,0,1,0,1,0,1,0,0,2
422,4.721,PARKINSONISM RELAT D,5,0,0,1,0,0,2,1,0,0,1,0
423, ,PATTERN CLASSIFICATI,5,0,0,0,0,0,1,0,0,0,0,4
424,1.147,PERFUSION-UK,5,0,0,1,0,2,0,0,0,0,0,2
425,2.214,PHOTOCHEM PHOTOBIOL,5,0,0,0,0,0,0,0,0,1,0,4
426,2.517,PHYSIOL BEHAV,5,0,0,0,1,0,1,0,0,0,1,2
427,24.014,PHYSIOL REV,5,0,0,0,0,0,0,2,0,0,0,3
428, ,PRINCIPAL COMPONENT,5,0,0,0,0,0,0,0,0,0,0,5
429,14.163,PROG NEUROBIOL,5,0,0,0,1,0,2,1,1,0,0,0
430,4.027,SEMIN RADIAT ONCOL,5,0,0,0,0,0,1,0,0,0,0,4
431,5.667,SENSOR ACTUAT B-CHEM,5,0,1,0,0,1,0,0,1,1,0,1
432,2.047,SIAM J NUMER ANAL,5,0,0,0,0,0,0,0,0,0,1,4
433,1.585,SPEECH COMMUN,5,0,1,0,0,0,0,0,0,0,1,3
434, ,SYST IDENTIFICATIO,5,0,0,0,0,0,1,0,0,0,0,4
435,1.568,TECHNOMETRICS,5,0,0,0,0,0,0,0,0,0,0,5
436,13.578,TRENDS BIOTECHNOL,5,0,0,1,0,0,1,0,0,0,1,2
437,2.069,VISION RES,5,0,0,1,1,0,0,0,0,0,0,3
438, ,ADV NEUR IN,4,0,0,0,0,0,0,0,0,0,0,4
439, ,ADV NEUR INFORM PROC,4,0,0,0,0,0,4,0,0,0,0,0
440,4.013,AGE AGEING,4,0,0,0,0,0,0,0,0,0,1,3
441,4.322,AM J EPIDEMIOL,4,0,0,0,0,1,0,0,0,0,0,3
442, ,AM REV RESPIR DIS,4,0,0,0,0,0,0,0,0,0,0,4
443,4.277,ANN NY ACAD SCI,4,0,0,0,0,0,0,1,0,0,1,2
444,3.258,ARCH DIS CHILD,4,0,0,0,0,0,0,0,0,0,0,4
445, ,ARTHRITIS RHEUM-US,4,0,0,0,0,0,0,0,0,0,0,4
446, ,AT&T TECH J,4,0,0,0,0,0,0,0,0,0,0,4
447,2.244,AUTON ROBOT,4,1,1,0,0,0,1,0,0,0,0,1
448,0.771,B AM MATH SOC,4,0,0,0,0,0,1,0,0,1,1,1
449,2.559,BIOCHEM BIOPH RES CO,4,0,1,0,0,0,0,1,0,0,0,2
450,3.789,BIOELECTROCHEMISTRY,4,0,0,0,0,0,0,0,0,0,0,4
451,2.000,BIOELECTROMAGNETICS,4,1,0,0,1,0,1,0,0,0,0,1
452,11.984,BIOL PSYCHIAT,4,0,0,0,0,0,0,0,1,0,0,3
453,1.635,BMC MED IMAGING,4,0,1,0,1,1,0,0,0,0,0,1
454,3.440,BRAIN RES BULL,4,0,0,1,0,1,1,0,0,0,0,1
455, ,BRIT HEART J,4,0,0,0,0,0,0,0,0,0,0,4
456,5.433,BRIT J SURG,4,0,0,0,0,0,0,0,0,0,0,4
457,2.134,BURNS,4,0,0,0,0,0,0,0,0,0,1,3
458,244.585,CA-CANCER J CLIN,4,0,0,2,1,0,0,0,0,0,0,1
459,2.210,CARDIOVASC INTER RAD,4,0,0,0,0,1,2,1,0,0,0,0
460,23.290,CELL STEM CELL,4,0,0,1,0,0,0,0,2,0,1,0
461,6.544,CLIN PHARMACOL THER,4,0,0,0,0,0,2,0,0,0,2,0
462, ,CLIN PHYS PHYSIOL M,4,0,0,0,0,0,0,0,0,0,0,4
463,3.063,COMMUN ACM,4,0,0,1,0,0,1,0,0,0,0,2
464, ,COMPUT BIOMED RES,4,0,0,0,0,0,0,0,0,0,0,4
465,1.181,COMPUT STAT DATA AN,4,0,0,0,1,1,0,0,1,0,0,1
466,4.010,CURR OPIN NEUROL,4,0,0,0,0,0,0,0,0,0,1,3
467, ,CYTOMETRY,4,0,0,0,0,0,0,0,0,0,0,4
468,5.413,DEVELOPMENT,4,0,0,0,0,1,0,0,0,0,0,3
469, ,DIGITAL IMAGE PROCES,4,0,0,0,0,0,0,0,0,1,0,3
470,2.110,ELECTRONICS-SWITZ,4,0,2,0,2,0,0,0,0,0,0,0
471, ,ELEMENTS INFORM THEO,4,0,0,0,0,0,3,0,0,0,0,1
472, ,EUR J ECHOCARDIOGR,4,0,0,0,0,0,0,1,2,0,0,1
473,5.595,FASEB J,4,0,0,0,0,0,0,1,0,0,0,3
474,2.073,FRONT COMPUT NEUROSC,4,0,0,1,0,2,0,0,1,0,0,0
475, ,FUND STAT SI,4,0,0,0,0,0,0,0,1,0,0,3
476,7.204,GASTROINTEST ENDOSC,4,0,0,1,0,0,0,1,0,0,0,2
477,5.420,HEART,4,0,0,0,2,0,0,0,0,0,0,2
478,6.823,HYPERTENSION,4,0,0,0,0,0,0,0,1,0,0,3
479,3.557,IEEE ACCESS,4,0,2,1,0,1,0,0,0,0,0,0
480, ,IEEE REV BIOMEDICAL,4,0,0,0,1,0,0,1,2,0,0,0
481,3.558,IEEE T CIRC SYST VID,4,0,0,0,1,0,0,0,0,0,0,3
482,2.823,IEEE T CIRCUITS-I,4,0,0,0,0,0,1,0,0,0,0,3
483, ,IFMBE PROC,4,0,0,2,0,0,0,0,1,1,0,0
484,1.488,INFORM RETRIEVAL J,4,0,0,0,0,0,0,0,0,0,0,4
485, ,INT C PER COMP,4,0,0,2,0,2,0,0,0,0,0,0
486, ,INT C REHAB ROBOT,4,0,0,3,0,0,0,0,0,0,0,1
487,3.891,INT J HEAT MASS TRAN,4,0,0,0,0,0,0,0,0,0,2,2
488,4.370,INT J NANOMED,4,0,0,1,1,0,0,1,0,0,0,1
489,2.338,INT J NUMER METH BIO,4,0,1,1,1,0,1,0,0,0,0,0
490,3.294,INTEGR BIOL-UK,4,0,0,2,0,1,1,0,0,0,0,0
491,4.270,J AM MED INFORM ASSN,4,0,0,1,1,2,0,0,0,0,0,0
492,1.301,J APPL CLIN MED PHYS,4,0,0,0,0,0,1,3,0,0,0,0
493,3.768,J BIOPHOTONICS,4,0,0,1,0,1,2,0,0,0,0,0
494,3.468,J COGNITIVE NEUROSCI,4,0,0,1,0,0,0,0,0,1,1,1
495,4.902,J GERONTOL A-BIOL,4,0,1,0,0,0,0,0,0,0,0,3
496,1.261,J HEALTHC ENG,4,0,0,1,0,3,0,0,0,0,0,0
497, ,J MAGN RESON SER A,4,0,0,0,0,0,0,0,0,0,0,4
498,1.211,J MED BIOL ENG,4,0,0,0,0,0,1,2,0,0,1,0
499,0.412,J MED DEVICES,4,0,0,1,0,1,2,0,0,0,0,0
500,2.475,J MICROELECTROMECH S,4,0,0,0,0,0,0,1,0,0,0,3
501,2.779,J NEURAL TRANSM,4,0,0,0,0,0,1,0,0,0,2,1
502,6.253,J PATHOL,4,0,0,0,2,1,0,0,0,0,1,0
503,3.075,J PHARM SCI-US,4,0,0,1,0,0,0,0,0,0,0,3
504,2.373,J PHYS D APPL PHYS,4,0,0,0,0,0,0,0,0,1,0,3
505,1.802,J REHABIL MED,4,0,0,0,1,0,0,1,0,1,0,1
506,2.057,J SENSORS,4,0,1,0,1,0,0,1,1,0,0,0
507, ,J TRAUMA,4,0,0,0,0,0,0,0,0,0,0,4
508,2.266,J VISION,4,0,0,0,1,1,0,1,0,1,0,0
509,36.421,LANCET ONCOL,4,0,1,0,0,0,0,0,1,0,0,2
510,1.333,MINIM INVASIV THER,4,0,0,0,0,0,1,0,0,0,0,3
511,3.626,MOL IMAGING BIOL,4,0,0,0,1,0,0,1,0,0,0,2
512,4.556,MOL PHARMACEUT,4,0,0,0,0,0,0,2,0,0,2,0
513,3.404,NANOTECHNOLOGY,4,0,0,0,1,0,1,1,0,1,0,0
514,35.612,NAT REV MOL CELL BIO,4,0,0,0,0,0,0,0,0,0,0,4
515,3.869,NEUROIMAGE-CLIN,4,1,0,0,0,2,1,0,0,0,0,0
516,2.774,NEUROMODULATION,4,0,0,0,0,0,0,0,1,0,0,3
517,2.262,OPHTHAL PHYSL OPT,4,0,2,0,0,0,0,0,0,0,0,2
518, ,P 20 ANN M ISMRM,4,0,0,0,0,0,4,0,0,0,0,0
519, ,P ANN M EXH INT SOC,4,0,0,0,3,0,0,0,0,0,1,0
520, ,P ICML,4,0,0,0,1,1,0,1,0,0,1,0
521, ,P IEEE INT C AC SPEE,4,0,0,0,3,1,0,0,0,0,0,0
522, ,P INT C MACH LEARN,4,0,0,0,0,1,0,0,1,1,0,1
523, ,P INT SOC MAG RESON,4,0,0,1,0,0,0,0,0,1,0,2
524,4.847,P ROY SOC B-BIOL SCI,4,0,0,0,0,0,1,1,0,0,0,2
525, ,PATTERN REC 4RTH ED,4,0,0,0,0,0,0,0,0,4,0,0
526,2.974,PERVASIVE MOB COMPUT,4,0,0,1,2,0,1,0,0,0,0,0
527,3.335,PHARM RES-DORDR,4,0,0,0,0,0,1,0,0,1,0,2
528,3.621,PLAST RECONSTR SURG,4,0,0,1,0,1,1,1,0,0,0,0
529,7.230,PSYCHOL REV,4,0,0,0,0,0,0,0,0,0,0,4
530,4.942,RADIOTHER ONCOL,4,0,1,0,0,0,0,0,0,0,1,2
531,2.046,SIAM J SCI COMPUT,4,0,0,0,0,0,0,1,0,0,0,3
532, ,SIGKDD EXPLORATIONS,4,0,0,0,0,0,0,0,1,3,0,0
533,3.395,SLEEP MED,4,0,0,1,0,0,0,0,0,0,1,2
534,7.074,SPORTS MED,4,0,0,0,0,1,0,0,0,0,0,3
535,1.932,STAT MED,4,0,0,1,1,0,0,0,0,0,0,2
536,15.557,TRENDS COGN SCI,4,0,0,0,0,1,0,0,1,0,0,2
537,2.300,UROLOGY,4,0,0,0,0,1,0,2,0,0,0,1
538, ,WAVELET TOUR SIGNAL,4,0,0,0,0,0,0,0,0,0,0,4
539,3.709,WIRES SYST BIOL MED,4,0,0,0,0,2,0,0,1,1,0,0
540,2.952,WOUND REPAIR REGEN,4,0,0,0,0,0,1,0,0,1,0,2
541, ,2009 IEEE INT S,3,0,0,0,0,0,0,0,0,3,0,0
542,4.384,ACM T GRAPHIC,3,0,0,0,0,0,0,1,0,1,0,1
543,1.161,ACTA OTO-LARYNGOL,3,0,0,0,0,0,0,0,0,0,0,3
544, ,ACTA PHYSIOL SCAND,3,0,0,0,0,0,0,0,0,0,0,3
545,8.855,AM J HUM GENET,3,0,0,0,1,0,0,0,0,0,1,1
546,4.302,AM STAT,3,0,0,0,0,0,0,0,0,0,0,3
547, ,ANN EUGENIC,3,0,0,0,0,0,0,0,0,0,0,3
548,1.513,ANN OTO RHINOL LARYN,3,0,0,0,0,0,0,0,0,0,0,3
549,12.350,ANN RHEUM DIS,3,0,1,0,1,0,0,0,0,0,0,1
550,14.814,ANNU REV FLUID MECH,3,0,0,0,2,0,0,0,0,0,0,1
551,14.970,ANNU REV MED,3,0,0,0,0,0,2,0,0,0,0,1
552,22.774,ANNU REV PSYCHOL,3,0,0,0,0,1,0,1,0,0,0,1
553,1.983,APPL INTELL,3,0,0,0,1,0,0,0,0,0,0,2
554, ,ARCH OTOLARYNGOL,3,0,0,0,0,0,0,0,1,0,0,2
555,2.111,ARTIF ORGANS,3,0,0,0,0,0,0,0,1,0,0,2
556,2.078,AUDIOL NEURO-OTOL,3,0,0,0,0,0,0,0,0,0,1,2
557,5.723,BASIC RES CARDIOL,3,0,0,0,1,0,0,0,0,0,0,2
558,3.173,BEHAV BRAIN RES,3,0,0,0,0,0,0,1,0,0,0,2
559, ,BIOCHIM BIOPHYS ACTA,3,0,0,0,0,0,0,0,0,0,0,3
560, ,BIOELECTROMAGNETISM,3,0,0,0,0,0,0,0,0,0,0,3
561, ,BIOMECHANICS MOTOR C,3,0,0,0,0,0,0,0,0,3,0,0
562,1.524,BIOMETRICS,3,0,0,0,0,0,0,0,0,0,0,3
563,1.440,BIOTECHNOL APPL BIOC,3,0,0,0,0,0,0,1,1,0,0,1
564,2.173,BMC NEUROSCI,3,0,0,0,0,1,0,2,0,0,0,0
565,2.413,BMJ OPEN,3,0,0,0,2,0,1,0,0,0,0,0
566,2.574,BRAIN COGNITION,3,0,0,0,0,0,0,0,0,0,0,3
567, ,BRAIN COMPUT INTER,3,0,0,0,1,1,1,0,0,0,0,0
568,6.302,BRIEF BIOINFORM,3,0,0,0,2,0,0,1,0,0,0,0
569, ,CANC FACTS FIG 2015,3,0,0,1,0,0,0,0,0,0,1,1
570, ,CARDIAC ELECTROPHYSI,3,0,0,0,0,0,0,0,0,1,0,2
571, ,CARDIOVASC ENG,3,0,0,0,0,0,0,0,0,2,1,0
572,6.221,CIRC-CARDIOVASC IMAG,3,0,0,0,1,1,0,0,1,0,0,0
573,6.504,CIRC-CARDIOVASC INTE,3,0,0,0,1,1,0,0,0,0,1,0
574,1.908,CLIN ANAT,3,0,0,0,2,0,0,0,1,0,0,0
575,1.863,CLIN BIOMECH,3,0,0,0,0,0,0,0,0,1,0,2
576,2.926,CLIN CHIM ACTA,3,0,0,0,0,1,0,0,1,0,0,1
577,1.807,CLIN EEG NEUROSCI,3,0,0,0,1,1,0,1,0,0,0,0
578,7.683,CLIN GASTROENTEROL H,3,0,0,0,0,0,0,0,0,0,0,3
579, ,COMP MED SYST,3,0,0,0,0,0,0,0,0,0,0,3
580,3.113,COMPUT CHEM ENG,3,0,0,0,0,0,1,0,0,0,0,2
581,2.046,COMPUT GRAPH FORUM,3,0,0,0,0,1,0,0,1,0,0,1
582,2.464,CORNEA,3,0,0,0,0,2,0,0,0,0,0,1
583, ,CURR CARDIOL REV,3,0,0,0,0,1,1,0,0,1,0,0
584,2.120,CURR EYE RES,3,0,0,0,0,2,0,0,1,0,0,0
585,3.120,CURR OPIN CRIT CARE,3,0,0,0,1,0,1,0,0,1,0,0
586,2.481,DATA MIN KNOWL DISC,3,0,0,0,0,0,0,0,0,0,0,3
587,0.672,DISCRETE COMPUT GEOM,3,0,0,0,0,0,0,0,0,0,1,2
588, ,DISCRETE TIME SIGNAL,3,0,0,0,1,0,0,0,0,1,0,1
589,3.750,ECONOMETRICA,3,0,0,0,0,0,0,0,0,0,0,3
590,1.663,EDUC PSYCHOL MEAS,3,0,0,0,0,0,0,0,0,0,0,3
591,3.688,EJSO-EUR J SURG ONC,3,0,0,1,0,0,0,0,0,1,0,1
592, ,ELECT FIELDS BRAIN N,3,0,0,0,0,0,0,0,0,0,0,3
593, ,ELECT IMPEDANCE TOMO,3,0,0,0,0,0,0,0,0,0,0,3
594,7.616,ELIFE,3,0,0,2,1,0,0,0,0,0,0,0
595,2.478,EYE,3,0,0,1,0,0,0,1,0,0,0,1
596, ,FINITE MIXTURE MODEL,3,0,0,0,0,0,0,0,0,0,0,3
597,3.138,FRONT BEHAV NEUROSCI,3,0,0,1,1,1,0,0,0,0,0,0
598, ,FRONT INTEGR NEUROSC,3,0,0,3,0,0,0,0,0,0,0,0
599, ,FRONT NEUROENG,3,0,0,0,3,0,0,0,0,0,0,0
600,3.532,GERONTOLOGY,3,0,1,1,0,0,0,0,0,0,0,1
601,4.843,HEALTH AFFAIR,3,0,0,0,1,1,0,0,0,0,0,1
602, ,HEALTH DEVICES,3,0,0,0,0,1,1,1,0,0,0,0
603,1.840,HUM MOVEMENT SCI,3,0,0,1,0,0,0,0,0,0,0,2
604,4.990,HUM REPROD,3,0,0,0,0,0,1,2,0,0,0,0
605, ,IEEE IJCNN,3,0,0,0,0,0,0,0,0,0,0,3
606, ,IEEE INT SYMP CIRC S,3,0,0,1,0,0,0,0,0,0,1,1
607,3.367,IEEE J SEL TOP QUANT,3,0,0,0,2,0,0,0,0,0,1,0
608,4.361,IEEE J-STSP,3,0,0,0,0,0,0,0,1,2,0,0
609,2.105,IEEE SPECTRUM,3,0,0,0,1,0,0,0,0,0,0,2
610,4.883,IEEE T CONTR SYST T,3,0,0,2,0,0,1,0,0,0,0,0
611,2.563,IEEE T HUM-MACH SYST,3,1,0,0,0,2,0,0,0,0,0,0
612,5.824,IEEE T INF FOREN SEC,3,0,0,1,0,0,2,0,0,0,0,0
613,3.977,IEEE T MULTIMEDIA,3,0,0,0,0,1,0,0,0,1,0,1
614, ,IEEE T SYST MAN CY C,3,0,0,0,0,0,0,0,1,0,1,1
615,2.955,IEEE T THZ SCI TECHN,3,0,0,2,0,0,0,1,0,0,0,0
616,3.078,IEEE T VIS COMPUT GR,3,0,0,1,0,0,0,0,0,0,1,1
617, ,IFMBE P WORLD C MED,3,0,0,0,0,0,0,0,0,3,0,0
618,2.619,ILAR J,3,0,0,0,1,0,0,0,0,0,0,2
619,3.444,INFORM PROCESS MANAG,3,0,0,0,0,0,0,0,0,1,0,2
620,1.378,INT J ANTENN PROPAG,3,0,0,1,0,0,1,0,0,0,1,0
621, ,INT J BIOMED IMAGING,3,0,0,0,1,1,0,0,0,0,1,0
622,1.787,INT J DISTRIB SENS N,3,0,1,0,0,1,1,0,0,0,0,0
623, ,INTRO BOOTSTRAP,3,0,0,0,0,0,0,0,0,0,0,3
624, ,J AM DIET ASSOC,3,0,0,0,0,0,0,1,1,0,0,1
625,6.827,J AM SOC ECHOCARDIOG,3,0,0,0,1,2,0,0,0,0,0,0
626,0.878,J AMB INTEL SMART EN,3,0,0,0,1,0,0,1,0,1,0,0
627,1.390,J APPL BIOMECH,3,0,0,0,0,0,0,0,0,0,0,3
628, ,J BASIC ENG-T ASME,3,0,0,0,0,0,0,0,0,0,0,3
629,2.015,J BIOSCI BIOENG,3,0,0,0,0,0,0,1,0,0,0,2
630,1.923,J BURN CARE RES,3,0,0,0,0,1,0,0,0,0,0,2
631,2.959,J CELL BIOCHEM,3,0,0,0,0,0,0,0,0,0,0,3
632,4.245,J CLIN EPIDEMIOL,3,0,0,0,0,0,0,0,0,0,0,3
633,3.396,J CLIN SLEEP MED,3,0,0,0,0,1,0,1,0,0,1,0
634,1.632,J COMPUT APPL MATH,3,0,2,0,0,1,0,0,0,0,0,0
635,1.191,J COMPUT BIOL,3,0,0,0,0,0,1,0,0,0,0,2
636,3.235,J ELECTROANAL CHEM,3,0,0,0,0,0,0,0,0,0,0,3
637,0.780,J ELECTRON IMAGING,3,0,0,0,0,0,0,1,0,0,0,2
638,2.038,J ENDOUROL,3,0,0,0,0,0,0,0,0,0,1,2
639,3.680,J GEN PHYSIOL,3,0,0,0,0,1,0,0,0,1,0,1
640,6.448,J INVEST DERMATOL,3,0,0,0,0,0,0,0,0,0,0,3
641,4.671,J MED INTERNET RES,3,0,0,1,0,1,1,0,0,0,0,0
642,1.693,J MICROSC-OXFORD,3,0,0,1,0,1,0,0,0,0,0,1
643,2.448,J NEUROL SCI,3,0,0,0,0,0,0,0,0,0,0,3
644,3.706,J PHARMACOL EXP THER,3,0,0,0,0,1,0,0,0,0,1,1
645,2.787,J PROCESS CONTR,3,0,0,1,0,0,1,0,0,0,1,0
646,4.000,J PSYCHIATR RES,3,0,0,0,0,1,0,0,0,0,0,2
647,22.737,J STAT SOFTW,3,0,0,0,0,0,0,0,2,0,1,0
648,2.886,J SURG ONCOL,3,0,0,0,0,1,0,1,0,0,0,1
649,1.530,J ULTRAS MED,3,0,0,0,0,0,1,0,0,1,0,1
650,2.716,JARO-J ASSOC RES OTO,3,0,0,0,0,0,0,0,1,1,0,1
651,3.789,LANGMUIR,3,0,0,0,1,0,0,1,0,0,1,0
652,2.726,LASER SURG MED,3,0,0,0,1,0,0,0,1,0,0,1
653, ,LECT NOTES ARTIF INT,3,0,0,0,0,0,0,0,0,1,0,2
654,1.832,MAGN RESON MATER PHY,3,0,0,0,0,1,0,0,0,0,0,2
655,2.665,MATH PROGRAM,3,0,0,0,0,0,0,0,0,0,0,3
656,2.423,MECHATRONICS,3,0,0,1,0,1,1,0,0,0,0,0
657,4.227,MED J AUSTRALIA,3,0,0,0,0,0,0,0,0,0,1,2
658,1.531,METHOD INFORM MED,3,0,2,0,0,0,0,0,0,0,1,0
659,3.998,METHODS,3,0,0,0,1,0,0,0,0,0,0,2
660,2.465,MICROVASC RES,3,0,0,0,0,0,0,0,0,0,0,3
661,0.948,MICROW OPT TECHN LET,3,0,0,0,0,0,1,1,0,0,1,0
662,5.005,NANOMEDICINE-UK,3,0,0,0,1,1,1,0,0,0,0,0
663,27.125,NAT GENET,3,0,0,0,0,0,0,2,0,0,0,1
